feature,coefficient,abs_coefficient
text__do tempo,4.304965578037308,4.304965578037308
text__produto foi,3.885989256471524,3.885989256471524
text__proxima,3.570385290306309,3.570385290306309
text__produto otima,3.472154983611043,3.472154983611043
text__prazo sempre,3.461028852281389,3.461028852281389
text__entrega tudo,3.4500729808041135,3.4500729808041135
text__nota fiscal,3.4200864006942284,3.4200864006942284
text__muito da,3.393738121638626,3.393738121638626
text__porém,-3.35252077900071,3.35252077900071
text__ótimo recomendo,3.344048323291159,3.344048323291159
text__100,3.339276006509577,3.339276006509577
text__cliente satisfeito,3.301813962853356,3.301813962853356
text__prazo final,3.2047303990632443,3.2047303990632443
text__entregue sem,3.141812265786608,3.141812265786608
text__gostei muito,3.1038217731892503,3.1038217731892503
text__correto dentro,3.100489554565145,3.100489554565145
text__certinho,3.085636775638845,3.085636775638845
text__melhor do,3.079222866686586,3.079222866686586
text__fiscal,3.0608237359688566,3.0608237359688566
text__os pedidos,2.991293404977616,2.991293404977616
text__séria,2.976609575169887,2.976609575169887
text__mega,2.9394330478327317,2.9394330478327317
text__ótima qualidade,2.930091280327825,2.930091280327825
text__produto dentro,2.907947086525577,2.907947086525577
text__este,2.875475190187692,2.875475190187692
text__foi entregue,-2.8730070527740494,2.8730070527740494
text__dois produtos,2.84611479840788,2.84611479840788
text__tapete,2.8437330862027905,2.8437330862027905
text__bom entrega,2.830177677453663,2.830177677453663
text__chegou produto,2.8110501268072055,2.8110501268072055
text__filtro,2.7990855073928227,2.7990855073928227
text__lindas,2.768756271469614,2.768756271469614
text__produto recomendo,-2.757672347519858,2.757672347519858
text__qualidade entregue,2.7527540179301493,2.7527540179301493
text__outro,2.7288317487186724,2.7288317487186724
text__caixas,2.726504777790315,2.726504777790315
text__pro,2.7121833271831175,2.7121833271831175
text__tres,2.7010719181097036,2.7010719181097036
text__não chegou,2.6718162529384144,2.6718162529384144
text__pintura,2.6355854429468497,2.6355854429468497
text__americana,2.630639539393972,2.630639539393972
text__prazo tudo,2.6269768485144764,2.6269768485144764
text__produtos de,2.6227637605631404,2.6227637605631404
text__ótima compra,2.6192830531398106,2.6192830531398106
text__responsável,2.6156394026211656,2.6156394026211656
text__pedidos,2.6070342576827583,2.6070342576827583
text__final,2.6070297976825123,2.6070297976825123
text__ótimo produto,2.606015538873214,2.606015538873214
text__chegou em,2.582045268258087,2.582045268258087
text__de boa,2.5812441940603468,2.5812441940603468
text__não recebi,2.575580891545652,2.575580891545652
text__ta de,2.561921317661028,2.561921317661028
text__correto no,2.558953765653649,2.558953765653649
text__site da,2.548948818087955,2.548948818087955
text__na casa,2.536169212714418,2.536169212714418
text__bom rápido,2.5030058156117514,2.5030058156117514
text__otima loja,2.5011163276545396,2.5011163276545396
text__qualidade recomendo,-2.494209836107424,2.494209836107424
text__faço,2.4935122955622897,2.4935122955622897
text__útil,2.4809843574518324,2.4809843574518324
text__produto certinho,2.4612943075687546,2.4612943075687546
text__estipulado,-2.4410057364463573,2.4410057364463573
text__obrigada,-2.4398633318373917,2.4398633318373917
text__recebi,2.415779163922902,2.415779163922902
text__muito rápido,-2.4037869897043653,2.4037869897043653
text__capa,2.391419520831534,2.391419520831534
text__adquirir,2.369932458519029,2.369932458519029
text__de uma,2.3690271486725147,2.3690271486725147
text__conforme esperado,2.3562233112577355,2.3562233112577355
text__bonito,2.3410520856569144,2.3410520856569144
text__bom com,2.333082618089104,2.333082618089104
text__compra fácil,2.3285864114631507,2.3285864114631507
text__excelente compra,2.3054740960412206,2.3054740960412206
text__chegar mas,2.2841244864001946,2.2841244864001946
text__entrega no,-2.28228850547035,2.28228850547035
text__perfeito estado,-2.279950265120583,2.279950265120583
text__produto lindo,2.266536392310214,2.266536392310214
text__mercadoria,-2.258578287840006,2.258578287840006
text__muito antes,2.247215651586985,2.247215651586985
text__demorou,2.2453957529208686,2.2453957529208686
text__bem feito,2.2399697702792225,2.2399697702792225
text__opinião,2.2271252651868294,2.2271252651868294
text__perfeito,2.215016887957022,2.215016887957022
text__prateleiras,2.213894570779365,2.213894570779365
text__pelo,-2.21302855549017,2.21302855549017
text__mau,2.206771166338846,2.206771166338846
text__boa entrega,2.2008950647100867,2.2008950647100867
text__recebi nenhum,2.1991929975648645,2.1991929975648645
text__eficiente,-2.188527388334033,2.188527388334033
text__chegou outro,2.188240552771849,2.188240552771849
text__produto não,-2.1870766692882606,2.1870766692882606
text__em perfeito,-2.1867203649950206,2.1867203649950206
text__são muito,2.183397766559851,2.183397766559851
text__entrega rapida,2.1783724023057953,2.1783724023057953
text__whey,2.1712009656792888,2.1712009656792888
text__relógio,2.1676210308019166,2.1676210308019166
text__entrega ocorreu,2.1659250645385395,2.1659250645385395
text__atingiu,2.155167738457356,2.155167738457356
text__recomendo muito,2.154180642013247,2.154180642013247
text__sem avarias,2.1422140904777525,2.1422140904777525
text__prazo adorei,2.133640275952955,2.133640275952955
text__entrega ótimo,2.132717080899037,2.132717080899037
text__fiel,2.1318685460750366,2.1318685460750366
text__unidades,2.1305292416764696,2.1305292416764696
text__de verdade,2.1265089047247567,2.1265089047247567
text__bom recebi,2.1155455387745956,2.1155455387745956
text__prazo estipulado,-2.1155383683915887,2.1155383683915887
text__bom entregou,2.103612280909216,2.103612280909216
text__sempre compro,2.1005036335501437,2.1005036335501437
text__bem,2.0969028506911966,2.0969028506911966
text__pincéis,2.0942244501149747,2.0942244501149747
