model,split,pr_auc,roc_auc,precision_at_k,lift_at_k,f1,precision,recall,brier,threshold
dummy_prior,val,0.015317845289762573,0.5,0.011494252873563218,0.7503831417624521,0.0,0.0,0.0,0.015095863325473684,0.05
dummy_prior,test,0.016211386264998722,0.5,0.0140485312899106,0.8665842057099186,0.0,0.0,0.0,0.015955672860020868,0.05
review_score_lr,val,0.018830926155727925,0.5683616368507475,0.021711366538952746,1.4173903788846318,0.04560570071258908,0.024181360201511334,0.4,0.23725000125345125,0.5499999999999999
review_score_lr,test,0.020492214356397885,0.5798987320045486,0.02554278416347382,1.5756076467453064,0.04395604395604396,0.02333495381623724,0.3779527559055118,0.23949290561137637,0.5499999999999999
tabular_lr,val,0.019591667250198924,0.5748336358136721,0.017879948914431672,1.1672626649638143,0.04340567612687813,0.023255813953488372,0.325,0.21324815855699353,0.5499999999999999
tabular_lr,test,0.022435703629268677,0.5886110285260664,0.02681992337164751,1.6543880290825719,0.039603960396039604,0.021205357142857144,0.2992125984251969,0.21806760849093945,0.5499999999999999
tabular_rf,val,0.017554388844664558,0.5294615849969752,0.017879948914431672,1.1672626649638143,0.036845983787767135,0.02021018593371059,0.20833333333333334,0.0761336859560486,0.35
tabular_rf,test,0.02292431205973533,0.5698419168993522,0.02554278416347382,1.5756076467453064,0.04342723004694836,0.023462270133164237,0.29133858267716534,0.08561026473250662,0.35
text_tfidf_lr,val,0.015077775892454348,0.4746213594330654,0.019157088122605363,1.2506385696040867,0.021505376344086023,0.030303030303030304,0.016666666666666666,0.02579219938588175,0.85
text_tfidf_lr,test,0.019043849047511763,0.500218637520446,0.02681992337164751,1.6543880290825719,0.022598870056497175,0.04,0.015748031496062992,0.024159520477618702,0.85
combined_tfidf_lr,val,0.01678677146575271,0.5073578342407743,0.024265644955300127,1.5841421881651765,0.04143947655398037,0.02383939774153074,0.15833333333333333,0.15056493811957936,0.5499999999999999
combined_tfidf_lr,test,0.0183960218092147,0.5302552439800611,0.019157088122605363,1.1817057350589797,0.033542976939203356,0.019347037484885126,0.12598425196850394,0.15461307393328305,0.5499999999999999
