,0
customer_state_emb5,0.68143624
product_category_main_emb36,0.6767391
product_category_main_emb32,0.6430523
seller_state_mode_emb7,0.6399564
product_category_main_emb2,0.6373829
text_word_count,0.6285826
product_category_main_emb12,0.61919945
product_category_main_emb23,0.617837
product_category_main_emb20,0.61761546
purchase_quarter,0.6166677
product_category_main_emb33,0.6165353
product_category_main_emb25,0.61302954
product_category_main_emb15,0.611401
product_category_main_emb16,0.6080333
seller_state_mode_emb5,0.606135
seller_state_mode_emb1,0.604025
seller_state_mode_emb4,0.60124475
product_category_main_emb13,0.59628224
product_photos_qty_mean,0.5959165
product_category_main_emb8,0.595812
customer_state_emb9,0.59365296
product_count,0.5933632
product_category_main_emb27,0.5933406
product_category_main_emb21,0.58895624
product_category_main_emb17,0.5846681
delivery_efficiency,0.5838572
product_category_main_emb14,0.5826833
payment_records,0.58182
product_category_main_emb34,0.5816065
product_category_main_emb0,0.5769682
product_category_main_emb19,0.57630634
product_category_main_emb4,0.5754388
seller_state_mode_emb10,0.57179374
payment_type_mode_emb2,0.56715494
customer_state_emb4,0.5670785
purchase_month,0.5650203
log1p_total_freight,0.5646449
payment_gap,0.56331325
multi_product,0.5608971
delivery_delay_days_clipped,0.55952877
product_category_main_emb11,0.5544458
log1p_approval_lag_hours,0.54806006
customer_state_emb8,0.5458094
product_category_main_emb18,0.54487175
text_char_len,0.5436715
product_category_main_emb3,0.54301095
product_category_main_emb5,0.5423829
log1p_package_volume_cm3_mean,0.54073167
customer_state_emb1,0.53946936
product_category_main_emb29,0.5364135
word_density,0.5336285
text_present,0.53326184
product_category_main_emb7,0.5311369
payment_type_nunique,0.5302912
customer_state_emb10,0.5245558
customer_state_emb2,0.522718
product_category_main_emb1,0.5197689
payment_installments_max,0.51917934
product_description_lenght_mean,0.51758933
score_x_delivery,0.51701444
seller_state_mode_emb0,0.5153005
seller_state_mode_emb8,0.5148984
payment_overhead,0.5131058
customer_state_emb11,0.51208264
multi_seller,0.5047223
customer_state_emb7,0.5035188
text_x_score,0.5025793
log1p_product_weight_g_mean,0.5022131
question_count,0.49981153
product_category_main_emb9,0.49952397
desc_per_photo,0.4970611
weekend_purchase_flag,0.49532944
delivery_days,0.4906374
seller_state_mode_emb6,0.48893768
volume_weight_ratio,0.48742244
product_category_main_emb30,0.48519683
same_state_seller_customer,0.48393476
customer_state_emb12,0.48380053
customer_state_emb13,0.4834608
late_delivery_flag,0.4744273
product_category_main_emb24,0.47141114
freight_pct,0.47137108
freight_ratio,0.47085366
product_category_main_emb31,0.4698723
product_category_main_emb10,0.4681589
log1p_payment_value_total,0.46799573
item_count,0.4669118
seller_state_mode_emb9,0.4638769
customer_state_emb3,0.46339992
price_per_item,0.46200842
customer_state_emb0,0.45733765
product_category_main_emb28,0.45626706
review_score,0.4507278
product_category_main_emb26,0.44119996
multi_payment,0.43337297
exclamation_count,0.4258022
price_x_late,0.41467816
product_category_main_emb22,0.4131779
seller_state_mode_emb2,0.4100975
payment_type_mode_emb0,0.40750432
payment_type_mode_emb1,0.40483454
seller_state_mode_emb3,0.39016685
seller_count,0.3898595
emotional_intensity,0.3880174
product_category_main_emb35,0.37353718
customer_state_emb6,0.3549686
log1p_total_price,0.35202998
product_category_main_emb6,0.31170824
